id,sentence1,sentence2,label,sentence1_clean,sentence2_clean
112303,It forms rough to smooth colonies after 7 or more days of incubation and is considered a slow grower .,It forms incubation rough to smooth colonies after 7 days or more and is considered a slow breeder .,1,form rough smooth colony 7 day incubation considered slow grower,form incubation rough smooth colony 7 day considered slow breeder
84014,"There is also a bathroom , often in inconsistent places in different episodes .","There is also a bathroom , often shown in different places in inconsistent episodes .",0,also bathroom often inconsistent place different episode,also bathroom often shown different place inconsistent episode
555634,"Nicole kissed Sam on her brother 's birthday , Connor .",Connor kissed Nicole on her brother Sam 's birthday .,0,nicole kissed sam brother birthday connor,connor kissed nicole brother sam birthday
118288,"In Japan the company has factories in Taga , Shiga , Fukaya , Shizuoka , Kita , Tochigi , Fuji , Saitama and in Mooka , Tokyo .","In Japan , the company maintains factories in Taga , Shiga , Fukaya , Saitama , Kita , Tokyo , Fuji , Shizuoka and in Mooka , Tochigi .",0,japan company factory taga shiga fukaya shizuoka kita tochigi fuji saitama mooka tokyo,japan company maintains factory taga shiga fukaya saitama kita tokyo fuji shizuoka mooka tochigi
313199,"Border sees that he has now tried to help the city and Batman since arriving there , but he states only that Batman can not be helped .","Since Border arrived there , he has only tried to help the city and Batman , but now he sees that Batman can not be helped .",0,border see tried help city batman since arriving state batman helped,since border arrived tried help city batman see batman helped
166239,"Set in the White Mountains , the town is surrounded by the White Mountain National Forest .","Surrounded by the White Mountain National Forest , the town is located in the White Mountains .",1,set white mountain town surrounded white mountain national forest,surrounded white mountain national forest town located white mountain
517512,Joseph N. Gallo was not related to Joe Gallo of the Colombo - family of crime .,Joe Gallo was not related to Joseph N. Gallo of the Colombo crime family .,0,joseph n gallo related joe gallo colombo family crime,joe gallo related joseph n gallo colombo crime family
602817,"It naturally occurs in dry and sandy habitats in Texas and neighboring parts of Arkansas , Louisiana and Oklahoma .","It naturally occurs in dry and sandy habitats in Texas and adjacent parts of Arkansas , Louisiana and Oklahoma .",1,naturally occurs dry sandy habitat texas neighboring part arkansas louisiana oklahoma,naturally occurs dry sandy habitat texas adjacent part arkansas louisiana oklahoma
355775,"Brenda Chamberlain received 634 votes , finishing fifth against Liberal incumbent Peter J. Ellis .",Brenda Chamberlain received 634 votes and fifth against liberal incumbent Peter J. Ellis .,1,brenda chamberlain received 634 vote finishing fifth liberal incumbent peter j elli,brenda chamberlain received 634 vote fifth liberal incumbent peter j elli
566006,"Contador was later disqualified , resulting in a 13th place 15 '57 ' behind Andy Schleck .","Andy Schleck was later disqualified , resulting in a 13th place 15 ' ; 57 ' ; behind Contador .",0,contador later disqualified resulting 13th place 15 57 behind andy schleck,andy schleck later disqualified resulting 13th place 15 57 behind contador
332381,Many of the small and pragmatic attempts to make the capitalist economy more moral ( e.g .,"However , many of the moral attempts to make the capitalist economy more small and pragmatic ( e.g .",0,many small pragmatic attempt make capitalist economy moral eg,however many moral attempt make capitalist economy small pragmatic eg
404345,NY 255 began at an intersection with NY 256 southeast of the hamlet of Dansville and north of the village of Scottsburg in the town of Sparta .,NY 255 began at an intersection with NY 256 southeast of the village Dansville and north of the village of Scottsburg in the town of Sparta .,1,ny 255 began intersection ny 256 southeast hamlet dansville north village scottsburg town sparta,ny 255 began intersection ny 256 southeast village dansville north village scottsburg town sparta
229195,"Burke County is a part of the metropolitan area of Hickory -- Lenoir -- Morganton , NC .","Burke County is part of the Hickory -- Lenoir -- Morganton , NC Metropolitan Statistical Area .",1,burke county part metropolitan area hickory lenoir morganton nc,burke county part hickory lenoir morganton nc metropolitan statistical area
